Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
2410,Antoine Semenyo,gh GHA,FW,Bournemouth,eng Premier League,23,2000,33,25,2105,23.4,8,2,10
2411,Marvin Senaya,tg TOG,"DF,MF",Strasbourg,fr Ligue 1,22,2001,32,23,2138,23.8,1,1,2
2412,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,26,1997,31,26,2242,24.9,4,5,9
2413,Stefano Sensi,it ITA,MF,Inter,it Serie A,27,1995,4,0,46,0.5,0,1,1
2414,Suat Serdar,de GER,MF,Hellas Verona,it Serie A,26,1997,25,19,1659,18.4,0,2,2
2415,Benjamin Sesko,si SVN,FW,RB Leipzig,de Bundesliga,20,2003,31,17,1526,17,14,2,16
2416,Kevin Sessa,de GER,"MF,FW",Heidenheim,de Bundesliga,23,2000,30,7,1011,11.2,3,0,3
2417,Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27,1996,16,5,619,6.9,1,0,1
2418,Andres Sfait,ro ROU,"DF,MF",Salernitana,it Serie A,18,2004,2,0,23,0.3,0,0,0
2419,Stephan El Shaarawy,it ITA,"FW,DF",Roma,it Serie A,30,1992,33,19,1738,19.3,3,4,7
2420,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,28,1995,12,12,959,10.7,0,0,0
2421,James Shea,eng ENG,GK,Luton Town,eng Premier League,32,1991,1,0,15,0.2,0,0,0
2422,Eldor Shomurodov,uz UZB,"FW,MF",Cagliari,it Serie A,28,1995,22,10,936,10.4,3,3,6
2423,Steven Shpendi,al ALB,"FW,MF",Empoli,it Serie A,20,2003,12,4,411,4.6,0,1,1
2424,Sofiane Sidi Ali,fr FRA,MF,Marseille,fr Ligue 1,28,1995,2,0,18,0.2,0,0,0
2425,Vincent Sierro,ch SUI,MF,Toulouse,fr Ligue 1,27,1995,30,25,2261,25.1,6,2,8
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2426,Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,23,2000,14,10,910,10.1,0,0,0
2427,Kiliann Sildillia,fr FRA,DF,Freiburg,de Bundesliga,21,2002,27,20,1806,20.1,0,1,1
2428,Andre Silva,pt POR,FW,Real Sociedad,es La Liga,27,1995,19,9,729,8.1,3,0,3
2429,Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,28,1994,33,29,2578,28.6,6,9,15
2430,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,26,1997,9,7,623,6.9,0,5,5
2431,Fabio Silva,pt POR,FW,Wolves,eng Premier League,21,2002,8,3,264,2.9,0,0,0
2432,Rui Silva,pt POR,GK,Betis,es La Liga,29,1994,28,28,2475,27.5,0,0,0
2433,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,38,1984,31,28,2527,28.1,3,1,4
2434,Marco Silvestri,it ITA,GK,Udinese,it Serie A,32,1991,17,17,1530,17,0,0,0
2435,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,23,2000,32,23,2138,23.8,2,3,5
2436,Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,28,1995,28,8,800,8.9,1,0,1
2437,Giuliano Simeone,ar ARG,FW,Alaves,es La Liga,20,2002,14,6,630,7,1,2,3
2438,Jan-Carlo Simic,rs SRB,DF,Milan,it Serie A,18,2005,4,0,146,1.6,1,0,1
2439,Moses Simon,ng NGA,"FW,MF",Nantes,fr Ligue 1,28,1995,22,21,1788,19.9,3,5,8
2440,Unai Simon,es ESP,GK,Athletic Club,es La Liga,26,1997,36,36,3182,35.4,0,0,0
2441,Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,20,2003,32,32,2653,29.5,8,11,19
2442,Wilfried Singo,ci CIV,DF,Monaco,fr Ligue 1,22,2000,25,24,2187,24.3,1,1,2
2443,Luis Sinisterra,co COL,"FW,MF",Bournemouth,eng Premier League,24,1999,20,7,699,7.8,2,2,4
2444,Daley Sinkgraven,nl NED,DF,Las Palmas,es La Liga,28,1995,11,6,388,4.3,0,0,0
2445,Jailson Siqueira,br BRA,"DF,MF",Celta Vigo,es La Liga,27,1995,14,9,897,10,0,1,1
2446,Ayanda Sishuba,be BEL,"MF,FW",Lens,fr Ligue 1,18,2005,7,0,62,0.7,0,0,0
2447,Ibrahima Sissoko,ml MLI,MF,Strasbourg,fr Ligue 1,25,1997,27,18,1642,18.2,0,1,1
2448,Moussa Sissoko,fr FRA,MF,Nantes,fr Ligue 1,33,1989,26,21,1821,20.2,0,0,0
2449,Antonio Sivera,es ESP,GK,Alaves,es La Liga,26,1996,34,34,3060,34,0,0,0
2450,Tim Skarke,de GER,"FW,DF",Darmstadt 98,de Bundesliga,26,1996,30,29,2404,26.7,8,0,8
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2451,Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,de Bundesliga,28,1995,27,24,2168,24.1,2,2,4
2452,Oliver Skipp,eng ENG,"MF,DF",Tottenham,eng Premier League,22,2000,21,5,707,7.9,0,0,0
2453,Leo Skiri stigard,no NOR,DF,Napoli,it Serie A,23,1999,25,18,1625,18.1,1,0,1
2454,ukasz Skorupski,pl POL,GK,Bologna,it Serie A,32,1991,32,32,2880,32,0,0,0
2455,Robert Skov,dk DEN,"DF,FW",Hoffenheim,de Bundesliga,27,1996,25,14,1260,14,3,4,7
2456,Milan Skriniar,sk SVK,DF,Paris S-G,fr Ligue 1,28,1995,24,17,1629,18.1,0,0,0
2457,Naatan Skytta,fi FIN,"MF,FW",Toulouse,fr Ligue 1,21,2002,8,0,120,1.3,0,0,0
2458,Chris Smalling,eng ENG,DF,Roma,it Serie A,33,1989,8,4,390,4.3,0,0,0
2459,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,32,1991,28,25,2150,23.9,0,2,2
2460,Emile Smith Rowe,eng ENG,MF,Arsenal,eng Premier League,23,2000,13,3,353,3.9,0,1,1
2461,Hrvoje Smolcic,hr CRO,DF,Eint Frankfurt,de Bundesliga,22,2000,11,3,347,3.9,1,0,1
2462,Cedric Soares,pt POR,DF,Arsenal,eng Premier League,31,1991,3,0,62,0.7,0,0,0
2463,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,31,1991,5,3,351,3.9,0,0,0
2464,Eduard Sobol,ua UKR,DF,Strasbourg,fr Ligue 1,28,1995,3,0,25,0.3,0,0,0
2465,Ruben Sobrino,es ESP,"MF,FW",Cadiz,es La Liga,31,1992,32,18,1646,18.3,0,1,1
2466,Andrea Sodero,it ITA,MF,Empoli,it Serie A,18,2004,1,0,5,0.1,0,0,0
2467,Emran Soglo,eng ENG,"MF,DF",Marseille,fr Ligue 1,18,2005,3,1,109,1.2,1,1,2
2468,Alex Sola,es ESP,"FW,MF",Alaves,es La Liga,24,1999,29,14,1262,14,0,3,3
2469,Alex Sola,es ESP,"DF,MF",Real Sociedad,es La Liga,24,1999,2,0,30,0.3,0,0,0
2470,Dominic Solanke,eng ENG,FW,Bournemouth,eng Premier League,25,1997,38,37,3325,36.9,19,3,22
2471,Ola Solbakken,no NOR,FW,Roma,it Serie A,24,1998,1,0,23,0.3,0,0,0
2472,Carlos Soler,es ESP,"MF,DF",Paris S-G,fr Ligue 1,26,1997,24,12,1090,12.1,2,2,4
2473,Jhon Solis,co COL,MF,Girona,es La Liga,18,2004,18,2,384,4.3,0,0,0
2474,Manor Solomon,il ISR,FW,Tottenham,eng Premier League,24,1999,5,2,199,2.2,0,2,2
2475,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,26,1997,1,0,5,0.1,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2476,Yann Sommer,ch SUI,GK,Inter,it Serie A,34,1988,34,34,3060,34,0,0,0
2477,Brandon Soppy,fr FRA,DF,Torino,it Serie A,21,2002,5,2,178,2,0,0,0
2478,David Soria,es ESP,GK,Getafe,es La Liga,30,1993,38,38,3413,37.9,0,0,0
2479,Alberto Soro,es ESP,MF,Granada,es La Liga,24,1999,1,0,8,0.1,0,0,0
2480,Alessandro Sorrentino,it ITA,GK,Monza,it Serie A,21,2002,7,5,548,6.1,0,0,0
2481,Borna Sosa,hr CRO,"FW,DF",Stuttgart,de Bundesliga,25,1998,2,0,46,0.5,0,0,0
2482,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,19,2003,17,8,721,8,0,1,1
2483,Florian Sotoca,fr FRA,"MF,FW",Lens,fr Ligue 1,32,1990,32,29,2598,28.9,7,6,13
2484,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,24,1999,22,13,1103,12.3,2,3,5
2485,Tomas Soucek,cz CZE,MF,West Ham,eng Premier League,28,1995,37,34,2870,31.9,7,2,9
2486,Matias Soule,ar ARG,"FW,MF",Frosinone,it Serie A,20,2003,36,36,3121,34.7,11,3,14
2487,Boubakary Soumare,fr FRA,MF,Sevilla,es La Liga,24,1999,28,26,2286,25.4,0,1,1
2488,Issa Soumare,sn SEN,"FW,MF",Le Havre,fr Ligue 1,22,2000,7,3,237,2.6,0,0,0
2489,Vinicius Souza,br BRA,MF,Sheffield Utd,eng Premier League,24,1999,36,29,2668,29.6,1,0,1
2490,Djibril Sow,ch SUI,MF,Sevilla,es La Liga,26,1997,24,18,1460,16.2,1,1,2
2491,Saidou Sow,gn GUI,DF,Strasbourg,fr Ligue 1,21,2002,10,8,719,8,0,1,1
2492,Caglar Soyuncu,tr TUR,DF,Atletico Madrid,es La Liga,27,1996,6,1,114,1.3,0,0,0
2493,Djed Spence,eng ENG,DF,Genoa,it Serie A,22,2000,16,8,859,9.5,0,0,0
2494,Stijn Spierings,nl NED,MF,Toulouse,fr Ligue 1,27,1996,22,16,1516,16.8,0,1,1
2495,Stijn Spierings,nl NED,MF,Lens,fr Ligue 1,27,1996,4,1,118,1.3,0,0,0
2496,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,30,1993,24,15,1312,14.6,1,2,3
2497,Marco Sportiello,it ITA,GK,Milan,it Serie A,31,1992,7,7,630,7,0,0,0
2498,Anton Stach,de GER,MF,Hoffenheim,de Bundesliga,24,1998,31,26,2321,25.8,2,3,5
2499,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,24,1998,2,2,170,1.9,0,0,0
2500,Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,26,1996,30,26,2327,25.9,3,1,4
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2501,Benjamin Stambouli,fr FRA,MF,Reims,fr Ligue 1,32,1990,7,3,286,3.2,0,1,1
2502,Josip Stanisic,hr CRO,DF,Leverkusen,de Bundesliga,23,2000,20,13,1261,14,3,1,4
2503,Carl Starfelt,se SWE,DF,Celta Vigo,es La Liga,28,1995,27,26,2216,24.6,1,0,1
2504,Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,28,1995,17,12,1088,12.1,2,0,2
2505,Jason Steele,eng ENG,GK,Brighton,eng Premier League,32,1990,17,17,1530,17,0,0,0
2506,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,27,1996,23,14,1064,11.8,0,5,5
2507,Leonidas Stergiou,ch SUI,DF,Stuttgart,de Bundesliga,21,2002,15,6,594,6.6,1,0,1
2508,Raheem Sterling,eng ENG,"FW,MF",Chelsea,eng Premier League,28,1994,31,22,1978,22,8,4,12
2509,Trivante Stewart,jm JAM,"FW,MF",Salernitana,it Serie A,23,2000,4,0,100,1.1,0,0,0
2510,Angelo Stiller,de GER,MF,Hoffenheim,de Bundesliga,22,2001,1,1,84,0.9,0,0,0
2511,Angelo Stiller,de GER,MF,Stuttgart,de Bundesliga,22,2001,31,30,2694,29.9,1,5,6
2512,Kevin Stoger,at AUT,MF,Bochum,de Bundesliga,29,1993,32,32,2668,29.6,7,10,17
2513,Filip Stojilkovic,ch SUI,"FW,MF",Darmstadt 98,de Bundesliga,23,2000,6,0,154,1.7,0,0,0
2514,John Stones,eng ENG,"DF,MF",Manchester City,eng Premier League,29,1994,16,12,1064,11.8,1,0,1
2515,Thomas Strakosha,al ALB,GK,Brentford,eng Premier League,28,1995,2,1,135,1.5,0,0,0
2516,Jrgen Strand Larsen,no NOR,FW,Celta Vigo,es La Liga,23,2000,37,36,2863,31.8,13,3,16
2517,Gabriel Strefezza,br BRA,FW,Lecce,it Serie A,26,1997,19,13,1112,12.4,1,0,1
2518,Kevin Strootman,nl NED,MF,Genoa,it Serie A,33,1990,27,15,1207,13.4,0,2,2
2519,Cristhian Stuani,uy URU,FW,Girona,es La Liga,36,1986,31,5,804,8.9,9,3,12
2520,Alex Suarez,es ESP,DF,Las Palmas,es La Liga,30,1993,32,30,2562,28.5,2,0,2
2521,Damian Suarez,uy URU,DF,Getafe,es La Liga,35,1988,16,15,1299,14.4,0,2,2
2522,Denis Suarez,es ESP,"MF,FW",Villarreal,es La Liga,29,1994,4,1,133,1.5,0,0,0
2523,Gabriel Suazo,cl CHI,DF,Toulouse,fr Ligue 1,25,1997,31,27,2357,26.2,0,4,4
2524,Isaac Success,ng NGA,"FW,MF",Udinese,it Serie A,27,1996,27,9,880,9.8,1,1,2
2525,Niklas Sule,de GER,DF,Dortmund,de Bundesliga,27,1995,23,14,1514,16.8,1,0,1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2526,Ibrahim Sulemana,gh GHA,MF,Cagliari,it Serie A,20,2003,21,16,1339,14.9,2,0,2
2527,Tomas Suslov,sk SVK,"MF,FW",Hellas Verona,it Serie A,21,2002,32,23,2092,23.2,3,5,8
2528,Suso,es ESP,"MF,FW",Sevilla,es La Liga,29,1993,29,15,1517,16.9,1,4,5
2529,Mattias Svanberg,se SWE,MF,Wolfsburg,de Bundesliga,24,1999,25,20,1715,19.1,1,3,4
2531,Mile Svilar,rs SRB,GK,Roma,it Serie A,23,1999,15,15,1350,15,0,0,0
2532,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,es La Liga,19,2004,15,4,439,4.9,5,0,5
2533,Karol Swiderski,pl POL,"FW,MF",Hellas Verona,it Serie A,26,1997,15,3,504,5.6,2,0,2
2534,Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,20,2002,22,19,1792,19.9,2,0,2
2535,Dembo Sylla,gn GUI,DF,Lorient,fr Ligue 1,20,2002,1,0,45,0.5,0,0,0
2536,Issiaga Sylla,gn GUI,"DF,FW",Montpellier,fr Ligue 1,29,1994,19,17,1455,16.2,1,2,3
2537,Mamadou Sylla,sn SEN,"FW,MF",Alaves,es La Liga,29,1994,2,0,18,0.2,0,0,0
2538,Attila Szalai,hu HUN,DF,Hoffenheim,de Bundesliga,25,1998,4,4,288,3.2,0,0,0
2539,Attila Szalai,hu HUN,DF,Freiburg,de Bundesliga,25,1998,3,0,103,1.1,0,0,0
2540,Wojciech Szczesny,pl POL,GK,Juventus,it Serie A,33,1990,35,35,3150,35,0,0,0
2541,Dominik Szoboszlai,hu HUN,MF,Liverpool,eng Premier League,22,2000,33,25,2104,23.4,3,2,5
2542,Przemysaw Szyminski,pl POL,MF,Frosinone,it Serie A,29,1994,1,0,9,0.1,0,0,0
2543,Alexander Srloth,no NOR,FW,Villarreal,es La Liga,27,1995,34,30,2489,27.7,23,6,29
2544,Musa Al-Taamari,jo JOR,FW,Montpellier,fr Ligue 1,26,1997,27,24,1928,21.4,5,2,7
2545,Nicolas Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,30,1992,25,25,2123,23.6,3,1,4
2546,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,27,1996,31,30,2631,29.2,4,1,5
2547,Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,25,1998,25,25,2204,24.5,0,0,0
2548,Yassin Tallal,es ESP,FW,Getafe,es La Liga,18,2005,1,0,3,0,0,0,0
2549,Adrien Tameze,cm CMR,"DF,MF",Torino,it Serie A,29,1994,29,25,2146,23.8,0,2,2
2550,Renato Tapia,pe PER,"MF,DF",Celta Vigo,es La Liga,28,1995,21,15,1337,14.9,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2551,Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,24,1999,28,23,2087,23.2,0,1,1
2552,Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,27,1995,3,1,78,0.9,0,0,0
2553,Oussama Targhalline,ma MAR,MF,Le Havre,fr Ligue 1,21,2002,14,12,1025,11.4,0,0,0
2554,James Tarkowski,eng ENG,DF,Everton,eng Premier League,30,1992,38,38,3419,38,1,1,2
2555,Cesar Tarrega,es ESP,DF,Valencia,es La Liga,21,2002,1,0,8,0.1,0,0,0
2556,Jimi Tauriainen,eng ENG,FW,Chelsea,eng Premier League,19,2004,1,0,1,0,0,0,0
2557,Nuno Tavares,pt POR,DF,Nott'ham Forest,eng Premier League,23,2000,8,5,457,5.1,0,0,0
2558,Marcus Tavernier,eng ENG,FW,Bournemouth,eng Premier League,24,1999,30,25,2118,23.5,3,4,7
2559,Elayis Tavsan,nl NED,"MF,FW",Hellas Verona,it Serie A,22,2001,3,0,50,0.6,0,0,0
2560,Charlie Taylor,eng ENG,DF,Burnley,eng Premier League,29,1993,28,25,2331,25.9,1,1,2
2561,Marciano Tchami,gw GNB,"FW,MF",Almeria,es La Liga,19,2004,6,0,43,0.5,0,0,0
2562,Loum Tchaouna,fr FRA,"FW,MF",Salernitana,it Serie A,19,2003,33,23,2100,23.3,4,3,7
2563,Jackson Tchatchoua,cm CMR,DF,Hellas Verona,it Serie A,21,2001,26,19,1725,19.2,0,2,2
2564,Enzo Tchato,cm CMR,DF,Montpellier,fr Ligue 1,20,2002,17,11,1125,12.5,0,0,0
2565,Aurelien Tchouameni,fr FRA,"MF,DF",Real Madrid,es La Liga,23,2000,27,22,1987,22.1,3,1,4
2566,Mathys Tel,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,18,2005,30,6,1050,11.7,7,5,12
2567,Nathan Tella,ng NGA,"DF,MF",Leverkusen,de Bundesliga,24,1999,24,8,819,9.1,5,2,7
2568,Nahuel Tenaglia,ar ARG,DF,Alaves,es La Liga,27,1996,25,11,1141,12.7,1,0,1
2569,Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,22,2001,6,5,529,5.9,0,1,1
2570,Marc-Andre ter Stegen,de GER,GK,Barcelona,es La Liga,31,1992,28,28,2520,28,0,0,0
2571,Filippo Terracciano,it ITA,DF,Hellas Verona,it Serie A,20,2003,18,14,1296,14.4,0,1,1
2572,Filippo Terracciano,it ITA,"DF,FW",Milan,it Serie A,20,2003,3,1,76,0.8,0,0,0
2573,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,33,1990,33,33,2970,33,0,0,0
2574,Ramon Terrats,es ESP,"MF,DF",Villarreal,es La Liga,22,2000,19,6,785,8.7,0,2,2
2575,Martin Terrier,fr FRA,"FW,MF",Rennes,fr Ligue 1,26,1997,24,19,1527,17,7,3,10
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2576,Kenny Tete,nl NED,DF,Fulham,eng Premier League,27,1995,14,10,867,9.6,1,0,1
2577,Benjamin Tetteh,gh GHA,"FW,MF",Metz,fr Ligue 1,26,1997,12,1,278,3.1,0,0,0
2578,Teddy Teuma,mt MLT,MF,Reims,fr Ligue 1,29,1993,28,25,2113,23.5,6,3,9
2579,Florian Thauvin,fr FRA,FW,Udinese,it Serie A,30,1993,29,19,1710,19,5,3,8
2580,Arthur Theate,be BEL,DF,Rennes,fr Ligue 1,23,2000,28,27,2296,25.5,2,0,2
2581,Norman Theuerkauf,de GER,"MF,DF",Heidenheim,de Bundesliga,36,1987,25,14,1259,14,0,1,1
2582,Malick Thiaw,de GER,DF,Milan,it Serie A,21,2001,21,19,1619,18,0,1,1
2583,Jan Thielmann,de GER,"FW,DF",Koln,de Bundesliga,21,2002,22,20,1579,17.5,1,0,1
2584,Denis Thomalla,de GER,"MF,FW",Heidenheim,de Bundesliga,30,1992,21,3,446,5,0,0,0
2585,Luke Thomas,eng ENG,DF,Sheffield Utd,eng Premier League,22,2001,12,11,917,10.2,0,0,0
2586,Adrien Thomasson,fr FRA,MF,Lens,fr Ligue 1,29,1993,29,13,1193,13.3,1,2,3
2587,Morten Thorsby,no NOR,MF,Genoa,it Serie A,27,1996,24,9,1157,12.9,2,2,4
2588,Kristian Thorstvedt,no NOR,MF,Sassuolo,it Serie A,24,1999,34,30,2397,26.6,6,1,7
2589,Khephren Thuram,fr FRA,MF,Nice,fr Ligue 1,22,2001,27,25,2108,23.4,1,1,2
2590,Marcus Thuram,fr FRA,FW,Inter,it Serie A,25,1997,35,34,2687,29.9,13,7,20
2591,Cheikh Tidiane Sabaly,sn SEN,"FW,MF",Metz,fr Ligue 1,24,1999,29,17,1379,15.3,3,1,4
2592,Youri Tielemans,be BEL,"MF,FW",Aston Villa,eng Premier League,26,1997,32,17,1622,18,2,6,8
2593,Kieran Tierney,sct SCO,DF,Real Sociedad,es La Liga,26,1997,20,14,1238,13.8,0,2,2
2594,Phillip Tietz,de GER,FW,Augsburg,de Bundesliga,26,1997,34,31,2382,26.5,8,4,12
2595,Steffen Tigges,de GER,FW,Koln,de Bundesliga,25,1998,25,6,727,8.1,3,0,3
2596,Antonio Tikvic,hr CRO,DF,Udinese,it Serie A,19,2004,1,0,1,0,0,0,0
2597,Jurrien Timber,nl NED,DF,Arsenal,eng Premier League,22,2001,2,1,71,0.8,0,0,0
2598,Jean-Clair Todibo,fr FRA,DF,Nice,fr Ligue 1,23,1999,30,30,2651,29.5,0,2,2
2599,Harry Toffolo,eng ENG,DF,Nott'ham Forest,eng Premier League,27,1995,23,15,1459,16.2,1,3,4
2600,Umut Tohumcu,de GER,MF,Hoffenheim,de Bundesliga,18,2004,20,12,1011,11.2,0,2,2
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2601,Corentin Tolisso,fr FRA,MF,Lyon,fr Ligue 1,28,1994,25,21,1741,19.3,2,1,3
2602,Jeremy Toljan,de GER,DF,Sassuolo,it Serie A,28,1994,25,24,2083,23.1,0,5,5
2603,Rafael Toloi,it ITA,DF,Atalanta,it Serie A,32,1990,18,10,965,10.7,0,0,0
2604,Raul de Tomas,es ESP,FW,Rayo Vallecano,es La Liga,28,1994,25,15,1272,14.1,1,2,3
2605,Tiago Tomas,pt POR,"FW,MF",Wolfsburg,de Bundesliga,21,2002,26,11,1032,11.5,1,1,2
2606,Takehiro Tomiyasu,jp JPN,DF,Arsenal,eng Premier League,24,1998,22,10,1149,12.8,2,1,3
2607,James Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,34,1989,4,0,10,0.1,0,0,0
2608,Fikayo Tomori,eng ENG,DF,Milan,it Serie A,25,1997,26,24,2121,23.6,4,0,4
2609,Sandro Tonali,it ITA,MF,Newcastle Utd,eng Premier League,23,2000,8,5,438,4.9,1,0,1
2610,Ivan Toney,eng ENG,FW,Brentford,eng Premier League,27,1996,17,16,1450,16.1,4,2,6
2611,Pablo Torre,es ESP,"MF,FW",Girona,es La Liga,20,2003,26,4,701,7.8,0,2,2
2612,Raul Torrente,es ESP,DF,Granada,es La Liga,21,2001,17,14,1250,13.9,0,0,0
2613,Ferran Torres,es ESP,FW,Barcelona,es La Liga,23,2000,29,12,1211,13.5,7,2,9
2614,Oliver Torres,es ESP,MF,Sevilla,es La Liga,28,1994,27,18,1616,18,0,1,1
2615,Pau Torres,es ESP,DF,Aston Villa,eng Premier League,26,1997,29,27,2464,27.4,2,0,2
2616,Lucas Torro,es ESP,MF,Osasuna,es La Liga,29,1994,28,21,1788,19.9,1,0,1
2617,Fabio Torsiello,it ITA,"FW,DF",Darmstadt 98,de Bundesliga,18,2005,10,1,156,1.7,0,0,0
2618,Ahmed Touba,dz ALG,DF,Lecce,it Serie A,25,1998,6,3,277,3.1,0,0,0
2619,Abdoulaye Toure,gn GUI,MF,Le Havre,fr Ligue 1,29,1994,30,27,2284,25.4,2,0,2
2620,Souleymane Toure,fr FRA,DF,Lorient,fr Ligue 1,20,2003,24,23,2051,22.8,1,1,2
2621,Lucas Tousart,fr FRA,MF,Union Berlin,de Bundesliga,26,1997,23,18,1572,17.5,0,0,0
2622,Andros Townsend,eng ENG,"MF,FW",Luton Town,eng Premier League,32,1991,27,14,1210,13.4,1,3,4
2623,James Trafford,eng ENG,GK,Burnley,eng Premier League,20,2002,28,28,2520,28,0,0,0
2624,Adama Traore,es ESP,"FW,MF",Fulham,eng Premier League,27,1996,17,1,377,4.2,2,3,5
2625,Bertrand Traore,bf BFA,"DF,FW",Aston Villa,eng Premier League,27,1995,2,0,11,0.1,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2626,Bertrand Traore,bf BFA,MF,Villarreal,es La Liga,27,1995,11,6,568,6.3,1,0,1
2627,Boubacar Traore,ml MLI,MF,Wolves,eng Premier League,21,2001,24,7,819,9.1,0,0,0
2628,Chaka Traore,ci CIV,FW,Milan,it Serie A,18,2004,2,0,20,0.2,1,0,1
2629,Daouda Traore,fr FRA,MF,Nice,fr Ligue 1,17,2006,1,0,16,0.2,0,0,0
2630,Hamari Traore,ml MLI,DF,Real Sociedad,es La Liga,31,1992,31,27,2292,25.5,0,2,2
2631,Ismael Traore,ci CIV,DF,Metz,fr Ligue 1,36,1986,26,25,2220,24.7,2,0,2
2632,Omar Traore,de GER,DF,Heidenheim,de Bundesliga,25,1998,31,29,2472,27.5,0,2,2
2633,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,33,1990,32,32,2880,32,0,0,0
2634,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,24,1999,4,4,360,4,0,0,0
2635,Oscar Trejo,ar ARG,"FW,MF",Rayo Vallecano,es La Liga,35,1988,31,19,1380,15.3,0,0,0
2636,Mike Tresor,be BEL,"FW,MF",Burnley,eng Premier League,24,1999,16,3,420,4.7,0,0,0
2637,Manu Trigueros,es ESP,MF,Villarreal,es La Liga,31,1991,14,2,309,3.4,0,0,0
2638,Christopher Trimmel,at AUT,DF,Union Berlin,de Bundesliga,36,1987,26,19,1646,18.3,0,2,2
2639,Kieran Trippier,eng ENG,DF,Newcastle Utd,eng Premier League,32,1990,28,26,2236,24.8,1,10,11
2640,Leandro Trossard,be BEL,"FW,MF",Arsenal,eng Premier League,28,1994,34,18,1649,18.3,12,1,13
2641,Adrien Truffert,fr FRA,DF,Rennes,fr Ligue 1,21,2001,30,24,2145,23.8,1,2,3
2642,Auston Trusty,us USA,DF,Sheffield Utd,eng Premier League,24,1998,32,28,2572,28.6,0,0,0
2643,Kostas Tsimikas,gr GRE,DF,Liverpool,eng Premier League,27,1996,13,8,679,7.5,0,3,3
2644,Viktor Tsyhankov,ua UKR,"MF,FW",Girona,es La Liga,25,1997,30,26,2052,22.8,8,7,15
2645,Stefano Turati,it ITA,GK,Frosinone,it Serie A,21,2001,31,31,2745,30.5,0,0,0
2646,Matt Turner,us USA,GK,Nott'ham Forest,eng Premier League,29,1994,17,17,1530,17,0,0,0
2647,Benat Turrientes,es ESP,MF,Real Sociedad,es La Liga,21,2002,29,19,1687,18.7,0,1,1
2648,Tuta,br BRA,DF,Eint Frankfurt,de Bundesliga,24,1999,30,30,2600,28.9,1,2,3
